"Scientific_Name_BD","Common_Name_BD","Scientific_Name_ALA","Common_Name_ALA","Match_Type"
"Aegotheles cristatus","Australian Owlet-nightjar","Aegotheles (Aegotheles) cristatus","Australian Owlet-nightjar","Exact - Common Name"
"Apus pacificus","Fork-tailed Swift","Apus (Apus) pacificus","Fork-tailed Swift","Exact - Common Name"
"Porphyrio porphyrio","Purple Swamphen","Porphyrio (Porphyrio) porphyrio","Purple Swamphen","Exact - Common Name"
"Gallinula tenebrosa","Dusky Moorhen","Gallinula (Gallinula) tenebrosa","Dusky Moorhen","Exact - Common Name"
"Himantopus leucocephalus","Pied Stilt","Himantopus himantopus leucocephalus","Pied Stilt","Exact - Common Name"
"Vanellus miles","Masked Lapwing","Vanellus (Lobipluvia) miles","Masked Lapwing","Exact - Common Name"
"Vanellus miles","Masked Lapwing","Vanellus (Lobipluvia) miles miles","Masked Lapwing","Exact - Common Name"
"Gallinago hardwickii","Latham's Snipe","Gallinago (Gallinago) hardwickii","Latham's Snipe","Exact - Common Name"
"Turnix varius","Painted Button-quail","Turnix (Austroturnix) varius","Painted Button-quail","Exact - Common Name"
"Turnix varius","Painted Button-quail","Turnix (Austroturnix) varius varius","Painted Button-quail","Exact - Common Name"
"Turnix velox","Little Button-quail","Turnix (Alphaturnia) velox","Little Button-quail","Exact - Common Name"
"Larus novaehollandiae","Silver Gull","Chroicocephalus novaehollandiae","Silver Gull","Exact - Common Name"
"Larus novaehollandiae","Silver Gull","Chroicocephalus novaehollandiae novaehollandiae","Silver Gull","Exact - Common Name"
"Chlidonias hybrida","Whiskered Tern","Chlidonias (Pelodes) hybrida","Whiskered Tern","Exact - Common Name"
"Sterna striata","White-fronted Tern","Sterna (Sterna) striata","White-fronted Tern","Exact - Common Name"
"Sterna hirundo","Common Tern","Sterna (Sterna) hirundo","Common Tern","Exact - Common Name"
"Pterodroma solandri","Providence Petrel","Pterodroma (Pterodroma) solandri","Providence Petrel","Exact - Common Name"
"Puffinus gavia","Fluttering Shearwater","Puffinus (Puffinus) gavia","Fluttering Shearwater","Exact - Common Name"
"Puffinus huttoni","Hutton's Shearwater","Puffinus (Puffinus) huttoni","Hutton's Shearwater","Exact - Common Name"
"Ephippiorhynchus asiaticus","Black-necked Stork","Ephippiorhynchus (Ephippiorhynchus) asiaticus","Black-necked Stork","Exact - Common Name"
"Platalea flavipes","Yellow-billed Spoonbill","Platalea (Platibis) flavipes","Yellow-billed Spoonbill","Exact - Common Name"
"Platalea regia","Royal Spoonbill","Platalea (Platalea) regia","Royal Spoonbill","Exact - Common Name"
"Phalacrocorax carbo","Great Cormorant","Phalacrocorax (Phalacrocorax) carbo","Great Cormorant","Exact - Common Name"
"Phalacrocorax sulcirostris","Little Black Cormorant","Phalacrocorax (Phalacrocorax) sulcirostris","Little Black Cormorant","Exact - Common Name"
"Aviceda subcristata","Pacific Baza","Aviceda (Aviceda) subcristata","Pacific Baza","Exact - Common Name"
"Aquila audax","Wedge-tailed Eagle","Aquila (Uroaetus) audax","Wedge-tailed Eagle","Exact - Common Name"
"Hieraaetus morphnoides","Little Eagle","Hieraaetus (Hieraaetus) morphnoides","Little Eagle","Exact - Common Name"
"Accipiter novaehollandiae","Grey Goshawk","Accipiter (Leucospiza) novaehollandiae","Grey Goshawk","Exact - Common Name"
"Accipiter fasciatus","Brown Goshawk","Accipiter (Leucospiza) fasciatus","Brown Goshawk","Exact - Common Name"
"Accipiter cirrocephalus","Collared Sparrowhawk","Accipiter (Paraspizias) cirrocephalus","Collared Sparrowhawk","Exact - Common Name"
"Tyto alba","Barn Owl","Tyto","Barn Owl","Exact - Common Name"
"Ninox strenua","Powerful Owl","Ninox (Rhabdoglaux) strenua","Powerful Owl","Exact - Common Name"
"Ninox connivens","Barking Owl","Ninox (Hieracoglaux) connivens","Barking Owl","Exact - Common Name"
"Ninox boobook","Southern Boobook","Ninox (Ninox) boobook","Southern Boobook","Exact - Common Name"
"Ninox boobook","Southern Boobook","Ninox (Ninox) novaeseelandiae","Southern Boobook","Exact - Common Name"
"Merops ornatus","Rainbow Bee-eater","Merops (Merops) ornatus","Rainbow Bee-eater","Exact - Common Name"
"Todiramphus macleayii","Forest Kingfisher","Todiramphus (Lazulena) macleayii","Forest Kingfisher","Exact - Common Name"
"Todiramphus sanctus","Sacred Kingfisher","Todiramphus (Todiramphus) sanctus","Sacred Kingfisher","Exact - Common Name"
"Dacelo novaeguineae","Laughing Kookaburra","Dacelo (Dacelo) novaeguineae","Laughing Kookaburra","Exact - Common Name"
"Falco cenchroides","Nankeen Kestrel","Falco (Tinnunculus) cenchroides","Nankeen Kestrel","Exact - Common Name"
"Falco cenchroides","Nankeen Kestrel","Falco (Tinnunculus) cenchroides cenchroides","Nankeen Kestrel","Exact - Common Name"
"Falco longipennis","Australian Hobby","Falco (Falco) longipennis","Australian Hobby","Exact - Common Name"
"Falco berigora","Brown Falcon","Falco (Ieracidea) berigora","Brown Falcon","Exact - Common Name"
"Falco subniger","Black Falcon","Falco (Hierofalco) subniger","Black Falcon","Exact - Common Name"
"Falco peregrinus","Peregrine Falcon","Falco (Hierofalco) peregrinus","Peregrine Falcon","Exact - Common Name"
"Cacatua tenuirostris","Long-billed Corella","Cacatua (Licmetis) tenuirostris","Long-billed Corella","Exact - Common Name"
"Cacatua sanguinea","Little Corella","Cacatua (Licmetis) sanguinea","Little Corella","Exact - Common Name"
"Cacatua galerita","Sulphur-crested Cockatoo","Cacatua (Cacatua) galerita","Sulphur-crested Cockatoo","Exact - Common Name"
"Platycercus elegans","Crimson Rosella","Platycercus (Platycercus) elegans","Crimson Rosella","Exact - Common Name"
"Platycercus eximius","Eastern Rosella","Platycercus (Violania) eximius","Eastern Rosella","Exact - Common Name"
"Neophema pulchella","Turquoise Parrot","Neophema (Neophema) pulchella","Turquoise Parrot","Exact - Common Name"
"Glossopsitta pusilla","Little Lorikeet","Parvipsitta pusilla","Little Lorikeet","Exact - Common Name"
"Trichoglossus moluccanus","Rainbow Lorikeet","Trichoglossus haematodus","Rainbow Lorikeet","Exact - Common Name"
"Pitta versicolor","Noisy Pitta","Pitta (Pitta) versicolor","Noisy Pitta","Exact - Common Name"
"Menura novaehollandiae","Superb Lyrebird","Menura (Menura) novaehollandiae","Superb Lyrebird","Exact - Common Name"
"Climacteris erythrops","Red-browed Treecreeper","Climacteris (Climacterobates) erythrops","Red-browed Treecreeper","Exact - Common Name"
