"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","China-Australia Migratory Bird Agreement (CAMBA)","Bonn Convention Migratory Taxa","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Pezoporus wallicus wallicus|https://biodiversity.org.au/afd/taxa/41b07a4e-e6dc-4575-8c9b-4c44872d21f8|Eastern Ground Parrot|Animalia|Psittacidae","Pezoporus wallicus wallicus","(Kerr, 1792)","subspecies","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Pezoporus","Eastern Ground Parrot","98","","","","","Endangered","","","","","","","","","",""
"Hirundapus caudacutus|https://biodiversity.org.au/afd/taxa/6485cd0c-f104-4950-8cdf-be4d09fc6bbc|White-throated Needletail|Animalia|Apodidae","Hirundapus caudacutus","(Latham, 1801)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Hirundapus","White-throated Needletail","97","Listed","","Listed","","Vulnerable","Listed","Vulnerable","","Vulnerable","Vulnerable","","Vulnerable","Migratory","",""
"Egretta sacra|https://biodiversity.org.au/afd/taxa/c650dca9-69e3-4051-ace8-86444b0ee972|Eastern Reef Egret|Animalia|Ardeidae","Egretta sacra","(Gmelin, 1789)","species","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Eastern Reef Egret","95","","","","","","","","","","","","","","",""
"Ninox (Ninox) boobook|https://biodiversity.org.au/afd/taxa/68fc5ba7-463f-4a86-8314-e42a5a8d0455|Southern Boobook|Animalia|Strigidae","Ninox (Ninox) boobook","(Latham, 1801)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Ninox","Southern Boobook","95","","","","","","","","","","","","","","",""
"Aythya (Nyroca) australis|https://biodiversity.org.au/afd/taxa/b0017049-e751-4a36-af4c-652fb6334891|Hardhead|Animalia|Anatidae","Aythya (Nyroca) australis","(Eyton, 1838)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","Hardhead","94","","","","","","","","","","","","","","",""
"Parvipsitta pusilla|https://biodiversity.org.au/afd/taxa/758cd11a-c3fa-40fa-9446-8e76a26ccce5|Little Lorikeet|Animalia|Psittacidae","Parvipsitta pusilla","(Shaw, 1790)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Parvipsitta","Little Lorikeet","89","","Endangered","","","","","","","","","","Vulnerable","","",""
"Elanus axillaris|https://biodiversity.org.au/afd/taxa/e382a431-801d-4a24-9a5a-03a262be9279|Black-shouldered Kite|Animalia|Accipitridae","Elanus axillaris","(Latham, 1801)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Black-shouldered Kite","87","","","","","","","","Endangered","","","","","","",""
"Poliocephalus poliocephalus|https://biodiversity.org.au/afd/taxa/947595db-244f-4160-b30d-0473b37d857b|Hoary-headed Grebe|Animalia|Podicipedidae","Poliocephalus poliocephalus","(Jardine & Selby, 1827)","species","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Poliocephalus","Hoary-headed Grebe","84","","","","","","","","","","","","","","",""
"Ninox (Ninox) novaeseelandiae|https://biodiversity.org.au/afd/taxa/856ed4e8-dbcf-487f-80c8-9c78591d2ff6|Southern Boobook|Animalia|Strigidae","Ninox (Ninox) novaeseelandiae","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Ninox","Southern Boobook","82","","","","","","","","","","","","","","",""
"Ceyx azureus|https://biodiversity.org.au/afd/taxa/65d646df-be05-48bf-ac3c-7b71501d2318|Azure Kingfisher|Animalia|Alcedinidae","Ceyx azureus","(Latham, 1801)","species","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Ceyx","Azure Kingfisher","80","","","","","","","","","","","","","","",""
