"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","Bonn Convention Migratory Taxa","China-Australia Migratory Bird Agreement (CAMBA)","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Eopsaltria (Eopsaltria) australis chrysorrhoa|https://biodiversity.org.au/afd/taxa/4279063f-d43d-4aba-a772-b1d28554a52f|North-eastern Yellow Robin|Animalia|Petroicidae","Eopsaltria (Eopsaltria) australis chrysorrhoa","Gould, 1869","subspecies","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","North-eastern Yellow Robin","443","","","","","","","","","","","","","","",""
"Amytornis (Amytornis) housei|https://biodiversity.org.au/afd/taxa/18f5cf2b-0abd-426d-bde2-d2a689fdf4ac|Black Grasswren|Animalia|Maluridae","Amytornis (Amytornis) housei","(Milligan, 1902)","species","Animalia","Chordata","Aves","Passeriformes","Maluridae","Amytornis","Black Grasswren","442","","","","","","","","","","","","","","Rare, Near Threatened",""
"Falco (Falco) longipennis longipennis|https://biodiversity.org.au/afd/taxa/042735b4-68b7-49a0-b9ec-8724ca9fd126|Southern Australian Hobby|Animalia|Falconidae","Falco (Falco) longipennis longipennis","Swainson, 1838","subspecies","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Southern Australian Hobby","440","","","","","","","","","","","","","","",""
"Dicrurus|https://biodiversity.org.au/afd/taxa/a81422df-4af4-4e03-a725-a8f5dbf131cd||Animalia|Dicruridae","Dicrurus","Vieillot, 1816","genus","Animalia","Chordata","Aves","Passeriformes","Dicruridae","Dicrurus","","438","","","","","","","","","","","","","","",""
"Northiella narethae|https://biodiversity.org.au/afd/taxa/3cb6cd8c-cb2d-4f80-bd74-860c575a353b|Naretha Parrot|Animalia|Psittacidae","Northiella narethae","(H.L. White, 1921)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Northiella","Naretha Parrot","438","","Rare","","","","","","","","","","","","Rare, Near Threatened",""
"Sphecotheres vieilloti flaviventris|https://biodiversity.org.au/afd/taxa/3e3bb6d1-ab5b-47f0-8ff8-814e6a142cf6|Yellow Figbird|Animalia|Oriolidae","Sphecotheres vieilloti flaviventris","Gould, 1850","subspecies","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Sphecotheres","Yellow Figbird","435","","","","","","","","","","","","","","",""
"PETROICIDAE|https://biodiversity.org.au/afd/taxa/3dc0a17a-f426-4f4e-b560-979f52d88afe||Animalia|Petroicidae","PETROICIDAE","Mathews, 1920","family","Animalia","Chordata","Aves","Passeriformes","Petroicidae","","","432","","","","","","","","","","","","","","",""
"Pachycephala (Mattingleya) simplex peninsulae|https://biodiversity.org.au/afd/taxa/38cb5bc1-caef-4816-9e27-72894bbee8a8|Queensland Grey-headed Whistler|Animalia|Pachycephalidae","Pachycephala (Mattingleya) simplex peninsulae","Hartert, 1899","subspecies","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Queensland Grey-headed Whistler","429","","","","","","","","","","","","","","",""
"PHASIANIDAE|https://biodiversity.org.au/afd/taxa/ad913a32-f11c-465d-80fb-0b53fdc40aad||Animalia|Phasianidae","PHASIANIDAE","Horsfield, 1821","family","Animalia","Chordata","Aves","Galliformes","Phasianidae","","","427","","","","","","","","","","","","","","",""
"Acanthiza (Acanthiza) apicalis apicalis|https://biodiversity.org.au/afd/taxa/4b007fa8-1647-4f91-85b8-dd83bff84045|Southern Inland Thornbill|Animalia|Acanthizidae","Acanthiza (Acanthiza) apicalis apicalis","Gould, 1847","subspecies","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Southern Inland Thornbill","425","","","","","","","","","","","","","","",""
