Common Name,Scientific Name,Count,Reporting Rate
Varied Sittella,Daphoenositta chrysoptera,13,0.73%
Black-faced Cuckoo-shrike,Coracina novaehollandiae,69,3.85%
White-bellied Cuckoo-shrike,Coracina papuensis,3,0.17%
Common Cicadabird,Edolisoma tenuirostre,1,0.06%
White-winged Triller,Lalage tricolor,1,0.06%
Olive Whistler,Pachycephala olivacea,1,0.06%
Rufous Whistler,Pachycephala rufiventris,179,9.99%
Golden Whistler,Pachycephala pectoralis,201,11.22%
Grey Shrike-thrush,Colluricincla harmonica,304,16.96%
Crested Shrike-tit,Falcunculus frontatus,4,0.22%
Eastern Whipbird,Psophodes olivaceus,232,12.95%
Australasian Figbird,Sphecotheres vieilloti,1,0.06%
Olive-backed Oriole,Oriolus sagittatus,5,0.28%
Pied Currawong,Strepera graculina,316,17.63%
Grey Currawong,Strepera versicolor,12,0.67%
Australian Magpie,Gymnorhina tibicen,33,1.84%
Grey Butcherbird,Cracticus torquatus,60,3.35%
Masked Woodswallow,Artamus personatus,1,0.06%
White-browed Woodswallow,Artamus superciliosus,1,0.06%
Dusky Woodswallow,Artamus cyanopterus,29,1.62%
Willie Wagtail,Rhipidura leucophrys,14,0.78%
Rufous Fantail,Rhipidura rufifrons,32,1.79%
Grey Fantail,Rhipidura albiscapa,394,21.99%
Little Raven,Corvus mellori,4,0.22%
Australian Raven,Corvus coronoides,98,5.47%
Leaden Flycatcher,Myiagra rubecula,8,0.45%
Satin Flycatcher,Myiagra cyanoleuca,3,0.17%
Magpie-lark,Grallina cyanoleuca,3,0.17%
Black-faced Monarch,Monarcha melanopsis,40,2.23%
White-winged Chough,Corcorax melanorhamphos,1,0.06%
Rose Robin,Petroica rosea,11,0.61%
Flame Robin,Petroica phoenicea,8,0.45%
Scarlet Robin,Petroica boodang,16,0.89%
Eastern Yellow Robin,Eopsaltria australis,379,21.15%
Mistletoebird,Dicaeum hirundinaceum,16,0.89%
Beautiful Firetail,Stagonopleura bella,117,6.53%
Red-browed Finch,Neochmia temporalis,64,3.57%
Double-barred Finch,Taeniopygia bichenovii,1,0.06%
House Sparrow,Passer domesticus,2,0.11%
Fairy Martin,Petrochelidon ariel,2,0.11%
Tree Martin,Petrochelidon nigricans,20,1.12%
Welcome Swallow,Hirundo neoxena,81,4.52%
Silvereye,Zosterops lateralis,249,13.90%
Common Starling,Sturnus vulgaris,1,0.06%
Common Myna,Acridotheres tristis,3,0.17%
Bassian Thrush,Zoothera lunulata,32,1.79%
Common Blackbird,Turdus merula,1,0.06%
Crow & Raven spp,,1,0.06%
Fairy-wren spp,,5,0.28%
